review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_cleanlinessnan,review_scores_checkinnan,review_scores_communicationnan,review_scores_locationnan,review_scores_ratingnan
4.86,4.87,4.83,4.93,4.84,0,0,0,0,0
5.0,5.0,5.0,4.33,4.67,0,0,0,0,0
4.93,4.92,4.92,4.75,4.88,0,0,0,0,0
4.93,4.87,4.92,4.9,4.8,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,0.0,1,1,1,1,0
4.0,4.0,5.0,4.0,4.0,0,0,0,0,0
5.0,5.0,5.0,5.0,4.85,0,0,0,0,0
4.65,4.94,4.96,4.96,4.76,0,0,0,0,0
4.91,5.0,5.0,4.82,4.82,0,0,0,0,0
4.9,5.0,5.0,4.9,4.86,0,0,0,0,0
4.96,4.94,4.97,4.92,4.88,0,0,0,0,0
4.8,5.0,5.0,4.8,5.0,0,0,0,0,0
4.81,4.96,4.89,4.79,4.78,0,0,0,0,0
4.38,4.77,4.92,4.46,4.62,0,0,0,0,0
5.0,5.0,5.0,4.6,4.8,0,0,0,0,0
4.88,5.0,4.99,4.72,4.89,0,0,0,0,0
4.96,4.98,4.96,4.92,4.93,0,0,0,0,0
4.88,5.0,5.0,4.84,4.96,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.98,5.0,4.98,4.88,4.85,0,0,0,0,0
5.0,5.0,5.0,4.0,5.0,0,0,0,0,0
4.33,4.9,4.81,4.67,4.71,0,0,0,0,0
4.62,4.97,4.98,4.61,4.79,0,0,0,0,0
4.91,4.96,4.95,4.8,4.88,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.93,4.98,4.98,4.81,4.94,0,0,0,0,0
4.85,4.92,4.95,4.8,4.92,0,0,0,0,0
4.96,4.96,4.96,4.73,4.73,0,0,0,0,0
4.77,4.97,4.95,4.83,4.78,0,0,0,0,0
4.96,4.95,4.96,4.78,4.89,0,0,0,0,0
4.99,4.99,4.98,4.71,4.92,0,0,0,0,0
4.92,4.88,4.91,4.82,4.85,0,0,0,0,0
4.94,4.93,4.99,4.77,4.94,0,0,0,0,0
4.8,4.88,4.94,4.68,4.78,0,0,0,0,0
4.89,5.0,5.0,5.0,4.89,0,0,0,0,0
5.0,5.0,5.0,4.8,5.0,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.93,4.94,4.94,4.82,4.92,0,0,0,0,0
4.64,4.81,4.86,4.7,4.55,0,0,0,0,0
4.91,4.98,4.98,4.55,4.89,0,0,0,0,0
4.7,4.89,4.93,4.75,4.84,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
5.0,5.0,5.0,4.91,5.0,0,0,0,0,0
5.0,4.67,4.83,4.67,4.67,0,0,0,0,0
4.5,5.0,5.0,5.0,5.0,0,0,0,0,0
4.65,4.91,4.95,4.85,4.8,0,0,0,0,0
4.44,4.67,4.56,4.33,4.44,0,0,0,0,0
4.74,4.7,4.86,4.85,4.66,0,0,0,0,0
5.0,4.83,4.83,5.0,4.83,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.55,4.83,4.91,4.97,4.7,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,0.0,1,1,1,1,0
5.0,5.0,5.0,4.25,5.0,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.94,4.96,4.94,4.81,4.9,0,0,0,0,0
4.83,4.94,4.94,4.87,4.91,0,0,0,0,0
4.95,4.92,4.94,4.84,4.95,0,0,0,0,0
4.82,4.88,4.88,4.65,4.82,0,0,0,0,0
4.96,5.0,5.0,4.56,4.84,0,0,0,0,0
4.54,4.7,4.7,4.76,4.35,0,0,0,0,0
4.67,4.74,4.78,4.7,4.58,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.35,4.65,4.8,4.45,4.48,0,0,0,0,0
4.79,4.93,4.95,4.5,4.79,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.62,4.88,4.89,4.69,4.73,0,0,0,0,0
4.91,4.94,4.94,4.54,4.75,0,0,0,0,0
4.66,5.0,5.0,4.79,4.97,0,0,0,0,0
4.62,4.75,4.76,4.72,4.44,0,0,0,0,0
4.85,4.92,4.89,4.94,4.86,0,0,0,0,0
4.69,4.92,4.87,4.71,4.82,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.04,4.6,4.76,4.94,4.56,0,0,0,0,0
5.0,5.0,5.0,4.5,5.0,0,0,0,0,0
4.61,4.69,4.71,4.63,4.39,0,0,0,0,0
4.68,4.67,4.77,4.84,4.54,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.14,4.56,4.7,4.94,4.32,0,0,0,0,0
3.0,5.0,5.0,5.0,5.0,0,0,0,0,0
