last_scraped,description,neighborhood_overview,host_id,host_name,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_l30d,first_review,review_scores_rating,review_scores_accuracy,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms,bedroomsnan,bedsnan,review_scores_ratingnan
1.0,1.0,0.0,0.0035883830062399,1.0,0.5,0.0,0.0,0.4,0.5,0.5,1.0,0.0005216484089723,0.5454545454545454,1.0,0.5,0.6000000000000001,1.0,0.3961498746127745,0.3209598972194172,1.0,1.0,0.5625,0.7777777777777777,0.25,0.2,0.0074875207986688,0.0008896797153024,0.0008896797153024,0.0009001800360072,1.0,0.0,0.0,0.0,0.1945205479452054,1.0,0.5487603305785124,0.0,0.0,0.984,0.982,0.966,0.0,0.0238095238095238,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0036915185518997,1.0,0.6666666666666666,0.0,0.0,0.4,0.125,1.0,0.1428571428571428,0.0041731872717788,0.9090909090909092,1.0,0.5,0.3,1.0,0.3649751684122577,0.4539093328439012,0.7000000000000001,1.0,0.3125,1.0,0.0,0.12,0.9342762063227954,0.0008896797153024,0.0017793594306049,0.1124224844968993,1.0,0.0666666666666666,0.3666666666666666,0.5333333333333333,0.8410958904109589,1.0,0.0909090909090909,0.0,0.0,0.9380000000000002,0.944,0.932,0.0,0.1904761904761904,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0036915185518997,1.0,0.6666666666666666,0.0,0.0,0.4,0.125,1.0,0.1428571428571428,0.0041731872717788,0.9090909090909092,1.0,0.5,0.3,1.0,0.3649751684122577,0.4539093328439012,0.7000000000000001,1.0,0.125,1.0,0.0,0.08,0.935108153078203,0.0008896797153024,0.0008896797153024,0.1124224844968993,1.0,0.5333333333333333,0.4833333333333333,0.5333333333333333,0.6986301369863014,1.0,0.1388429752066115,0.0,0.0,0.91,0.932,0.8880000000000001,0.0,0.1904761904761904,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.003857254776793,1.0,0.8333333333333333,0.0,1.0,1.0,0.375,0.5,1.0,0.0005216484089723,0.5454545454545454,1.0,0.5,0.2,1.0,0.328170329940491,0.6013811140680918,0.3,0.3333333333333333,0.125,0.3333333333333333,0.0,0.04,0.2653910149750416,0.0035587188612099,0.0035587188612099,0.0319063812762552,1.0,0.0,0.0,0.0555555555555555,0.0136986301369863,1.0,0.396694214876033,0.0,0.0,0.942,0.954,0.926,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0018206112234049,1.0,0.6666666666666666,0.0,0.0,0.4,0.5,1.0,0.0952380952380952,0.0026082420448617,0.6363636363636364,1.0,0.5,0.3,1.0,0.3173526085460025,0.3789116270533181,0.7000000000000001,1.0,0.25,1.0,0.0,0.12,0.935108153078203,0.0026690391459074,0.0026690391459074,0.1124224844968993,1.0,0.2333333333333333,0.5333333333333333,0.3555555555555555,0.6904109589041096,1.0,0.0462809917355371,0.0,0.0,0.892,0.904,0.912,0.0,0.119047619047619,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0046131521261832,1.0,0.5,0.0,1.0,1.0,1.0,0.5,0.3809523809523809,0.0010432968179447,0.8181818181818182,1.0,0.5,0.3,1.0,0.3184835521463185,0.4900890153253172,1.0,1.0,0.25,1.0,0.0833333333333333,0.08,0.0241264559068219,0.0,0.0008896797153024,0.0029005801160232,1.0,0.0,0.0,0.0,0.0,1.0,0.1520661157024793,0.0,0.0,0.934,0.954,0.912,0.0,0.0476190476190476,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0046920857498505,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0005216484089723,0.5454545454545454,1.0,0.5,0.6000000000000001,1.0,0.3670157840389549,0.5668532623657878,1.0,1.0,0.375,0.5555555555555556,0.1666666666666666,0.12,0.935108153078203,0.0017793594306049,0.0017793594306049,0.1124224844968993,1.0,0.0,0.0,0.0,0.0,1.0,0.1190082644628099,0.0,0.0,0.974,0.976,0.9300000000000002,0.0,0.0238095238095238,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0036915185518997,1.0,0.6666666666666666,0.0,0.0,0.4,0.125,1.0,0.1428571428571428,0.0041731872717788,0.9090909090909092,1.0,0.5,0.3,1.0,0.3649997541427012,0.4530375332660359,0.7000000000000001,1.0,0.375,1.0,0.0,0.12,0.9342762063227954,0.0008896797153024,0.0017793594306049,0.1124224844968993,1.0,0.6333333333333333,0.7666666666666666,0.8444444444444444,0.9616438356164384,1.0,0.168595041322314,0.0,0.0,0.956,0.954,0.912,0.0,0.1904761904761904,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0003633848480854,1.0,0.6666666666666666,0.0,0.25,0.4,0.5,0.5,1.0,0.001564945226917,0.0909090909090909,1.0,0.5,0.2,0.6666666666666666,0.2006441461375629,0.5289988070111029,0.5,0.3333333333333333,0.125,0.2222222222222222,0.0,0.08,0.0740432612312812,0.0017793594306049,0.0017793594306049,0.0089017803560712,1.0,0.0,0.1166666666666666,0.4111111111111111,0.8547945205479452,1.0,0.3454545454545454,0.0,0.0,0.952,0.958,0.95,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0050386743421491,1.0,0.5,0.0,0.5,0.4,0.625,1.0,1.0,0.0020865936358894,0.4090909090909091,1.0,0.5,0.3,1.0,0.3618650735113249,0.5292649353032939,0.5,1.0,0.1875,1.0,0.0,0.04,0.9342762063227954,0.0008896797153024,0.0008896797153024,0.1123224644928985,1.0,0.6,0.6333333333333333,0.7555555555555555,0.4328767123287671,1.0,0.7272727272727273,0.0,0.0,0.966,0.982,0.948,0.0,0.0714285714285714,0.0,0.0,0.0,0.0
